Location,Session,Treetype,Trap,flower_AB,flower_SR
B2,1,B,1,0,0
B2,1,B,2,0,0
B3,1,B,1,35,1
B3,1,B,2,15,1
B4,1,B,1,0,0
B4,1,B,2,30,2
B5,1,B,1,155,2
B5,1,B,2,198,3
B6,1,B,1,0,0
B6,1,B,2,0,0
B8,1,B,1,0,0
B8,1,B,2,0,0
B9,1,B,1,35,1
B9,1,B,2,45,3
O3,1,O,1,0,0
O3,1,O,2,142,3
O4,1,O,1,75,1
O4,1,O,2,120,1
O5,1,O,1,0,0
O5,1,O,2,0,0
O6,1,O,1,35,1
O6,1,O,2,120,1
O7,1,O,1,0,0
O7,1,O,2,0,0
P1,1,P,1,159,5
P1,1,P,2,0,0
P2,1,P,1,90,2
P2,1,P,2,85,3
P3,1,P,1,120,1
P3,1,P,2,0,0
P5,1,P,1,166,6
P5,1,P,2,120,3
P6,1,P,1,0,0
P6,1,P,2,0,0
P7,1,P,1,6,2
P7,1,P,2,29,3
P8,1,P,1,17,3
P8,1,P,2,66,6
B2,2,B,1,0,0
B2,2,B,2,0,0
B3,2,B,1,0,0
B3,2,B,2,120,1
B4,2,B,1,0,0
B4,2,B,2,0,0
B5,2,B,1,30,2
B5,2,B,2,255,3
B6,2,B,1,0,0
B6,2,B,2,7,1
B8,2,B,1,15,1
B8,2,B,2,0,0
B9,2,B,1,35,1
B9,2,B,2,152,4
O3,2,O,1,0,0
O3,2,O,2,0,0
O4,2,O,1,120,1
O4,2,O,2,120,1
O5,2,O,1,0,0
O5,2,O,2,155,2
O6,2,O,1,120,1
O6,2,O,2,120,1
O7,2,O,1,0,0
O7,2,O,2,0,0
P1,2,P,1,143,5
P1,2,P,2,38,2
P2,2,P,1,120,1
P2,2,P,2,131,5
P3,2,P,1,15,1
P3,2,P,2,0,0
P5,2,P,1,160,4
P5,2,P,2,195,2
P6,2,P,1,142,3
P6,2,P,2,0,0
P7,2,P,1,15,1
P7,2,P,2,22,2
P8,2,P,1,35,1
P8,2,P,2,123,5
B2,3,B,1,120,1
B2,3,B,2,120,1
B3,3,B,1,0,0
B3,3,B,2,0,0
B4,3,B,1,0,0
B4,3,B,2,0,0
B5,3,B,1,70,2
B5,3,B,2,150,2
B6,3,B,1,0,0
B6,3,B,2,0,0
B8,3,B,1,120,1
B8,3,B,2,0,0
B9,3,B,1,0,0
B9,3,B,2,247,3
O3,3,O,1,0,0
O3,3,O,2,0,0
O4,3,O,1,0,0
O4,3,O,2,0,0
O5,3,O,1,0,0
O5,3,O,2,15,1
O6,3,O,1,0,0
O6,3,O,2,35,1
O7,3,O,1,0,0
O7,3,O,2,0,0
P1,3,P,1,248,5
P1,3,P,2,240,2
P2,3,P,1,180,4
P2,3,P,2,87,5
P3,3,P,1,243,3
P3,3,P,2,7,1
P5,3,P,1,329,5
P5,3,P,2,70,2
P6,3,P,1,110,2
P6,3,P,2,0,0
P7,3,P,1,190,3
P7,3,P,2,155,2
P8,3,P,1,130,3
P8,3,P,2,135,2
B2,4,B,1,0,0
B2,4,B,2,0,0
B3,4,B,1,0,0
B3,4,B,2,0,0
B4,4,B,1,0,0
B4,4,B,2,0,0
B5,4,B,1,15,1
B5,4,B,2,0,0
B6,4,B,1,7,1
B6,4,B,2,0,0
B8,4,B,1,0,0
B8,4,B,2,0,0
B9,4,B,1,0,0
B9,4,B,2,7,1
O3,4,O,1,0,0
O3,4,O,2,0,0
O4,4,O,1,35,1
O4,4,O,2,0,0
O5,4,O,1,0,0
O5,4,O,2,0,0
O6,4,O,1,0,0
O6,4,O,2,0,0
O7,4,O,1,0,0
O7,4,O,2,0,0
P1,4,P,1,123,2
P1,4,P,2,120,1
P2,4,P,1,155,2
P2,4,P,2,120,1
P3,4,P,1,127,2
P3,4,P,2,7,1
P5,4,P,1,262,4
P5,4,P,2,240,2
P6,4,P,1,0,0
P6,4,P,2,0,0
P7,4,P,1,125,3
P7,4,P,2,110,2
P8,4,P,1,0,0
P8,4,P,2,0,0
B2,5,B,1,7,1
B2,5,B,2,0,0
B3,5,B,1,0,0
B3,5,B,2,0,0
B4,5,B,1,7,1
B4,5,B,2,7,1
B5,5,B,1,0,0
B5,5,B,2,0,0
B6,5,B,1,7,1
B6,5,B,2,0,0
B8,5,B,1,3,1
B8,5,B,2,0,0
B9,5,B,1,15,1
B9,5,B,2,15,1
O3,5,O,1,15,1
O3,5,O,2,15,1
O4,5,O,1,7,1
O4,5,O,2,0,0
O5,5,O,1,35,1
O5,5,O,2,7,1
O6,5,O,1,15,1
O6,5,O,2,7,1
O7,5,O,1,75,1
O7,5,O,2,35,1
P1,5,P,1,120,1
P1,5,P,2,0,0
P2,5,P,1,6,2
P2,5,P,2,3,1
P3,5,P,1,7,1
P3,5,P,2,15,1
P5,5,P,1,10,2
P5,5,P,2,0,0
P6,5,P,1,35,1
P6,5,P,2,7,1
P7,5,P,1,15,1
P7,5,P,2,7,1
P8,5,P,1,0,0
P8,5,P,2,3,1
B2,6,B,1,0,0
B2,6,B,2,0,0
B3,6,B,1,0,0
B3,6,B,2,0,0
B4,6,B,1,0,0
B4,6,B,2,0,0
B5,6,B,1,0,0
B5,6,B,2,0,0
B6,6,B,1,0,0
B6,6,B,2,0,0
B8,6,B,1,0,0
B8,6,B,2,0,0
B9,6,B,1,0,0
B9,6,B,2,0,0
O3,6,O,1,0,0
O3,6,O,2,0,0
O4,6,O,1,0,0
O4,6,O,2,0,0
O5,6,O,1,0,0
O5,6,O,2,0,0
O6,6,O,1,0,0
O6,6,O,2,0,0
O7,6,O,1,0,0
O7,6,O,2,0,0
P1,6,P,1,0,0
P1,6,P,2,0,0
P2,6,P,1,0,0
P2,6,P,2,0,0
P3,6,P,1,0,0
P3,6,P,2,0,0
P5,6,P,1,0,0
P5,6,P,2,0,0
P6,6,P,1,35,1
P6,6,P,2,7,1
P7,6,P,1,15,1
P7,6,P,2,13,3
P8,6,P,1,0,0
P8,6,P,2,0,0
B2,7,B,1,0,0
B2,7,B,2,0,0
B3,7,B,1,0,0
B3,7,B,2,0,0
B4,7,B,1,0,0
B4,7,B,2,0,0
B5,7,B,1,0,0
B5,7,B,2,0,0
B6,7,B,1,0,0
B6,7,B,2,0,0
B8,7,B,1,0,0
B8,7,B,2,0,0
B9,7,B,1,0,0
B9,7,B,2,0,0
O3,7,O,1,0,0
O3,7,O,2,0,0
O4,7,O,1,0,0
O4,7,O,2,0,0
O5,7,O,1,0,0
O5,7,O,2,0,0
O6,7,O,1,0,0
O6,7,O,2,0,0
O7,7,O,1,0,0
O7,7,O,2,0,0
P1,7,P,1,0,0
P1,7,P,2,0,0
P2,7,P,1,0,0
P2,7,P,2,0,0
P3,7,P,1,0,0
P3,7,P,2,0,0
P5,7,P,1,0,0
P5,7,P,2,0,0
P6,7,P,1,0,0
P6,7,P,2,0,0
P7,7,P,1,0,0
P7,7,P,2,0,0
P8,7,P,1,0,0
P8,7,P,2,0,0
B2,8,B,1,0,0
B2,8,B,2,0,0
B3,8,B,1,0,0
B3,8,B,2,0,0
B4,8,B,1,0,0
B4,8,B,2,0,0
B5,8,B,1,0,0
B5,8,B,2,0,0
B6,8,B,1,0,0
B6,8,B,2,0,0
B8,8,B,1,0,0
B8,8,B,2,0,0
B9,8,B,1,0,0
B9,8,B,2,0,0
O3,8,O,1,0,0
O3,8,O,2,0,0
O4,8,O,1,0,0
O4,8,O,2,0,0
O5,8,O,1,0,0
O5,8,O,2,0,0
O6,8,O,1,0,0
O6,8,O,2,0,0
O7,8,O,1,0,0
O7,8,O,2,0,0
P1,8,P,1,0,0
P1,8,P,2,0,0
P2,8,P,1,0,0
P2,8,P,2,0,0
P3,8,P,1,0,0
P3,8,P,2,0,0
P5,8,P,1,0,0
P5,8,P,2,0,0
P6,8,P,1,0,0
P6,8,P,2,0,0
P7,8,P,1,0,0
P7,8,P,2,0,0
P8,8,P,1,0,0
P8,8,P,2,0,0
