Session,Treetype,Location,Trap,Colour,Species,Genus,Speciesname,Sex,Count
1,B,B2,1,B,Andrena_angustior,Andrena,angustior ,V,1
1,B,B2,1,W,Andrena_mitis,Andrena,mitis,V,1
1,B,B2,1,W,Andrena_helvola,Andrena,helvola,V,1
1,B,B2,1,Y,Nomada_panzeri,Nomada,panzeri,M,1
1,B,B2,1,Y,Andrena_fulva,Andrena,fulva,V,1
1,B,B2,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B2,1,Y,Andrena_helvola,Andrena,helvola,V,1
1,B,B2,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,2
1,B,B2,1,Y,Andrena_helvola,Andrena,helvola,M,1
1,B,B2,1,Y,Andrena_scotica,Andrena,scotica,V,1
1,B,B2,2,B,Bombus _lapidarius,Bombus ,lapidarius,V,1
1,B,B2,2,B,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B2,2,W,Lasioglossum_malachurum,Lasioglossum,malachurum,V,1
1,B,B2,2,W,Andrena_helvola,Andrena,helvola,V,1
1,B,B2,2,W,Andrena_helvola,Andrena,helvola,M,1
1,B,B2,2,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B2,2,W,Nomada_fabriciana,Nomada,fabriciana,V,1
1,B,B2,2,Y,Andrena_fulva,Andrena,fulva,V,1
1,B,B2,2,Y,Andrena_helvola,Andrena,helvola,V,3
1,B,B2,2,Y,Andrena_helvola,Andrena,helvola,M,1
1,B,B2,2,Y,Nomada_flava,Nomada,flava,V,1
1,B,B2,2,Y,Nomada_panzeri,Nomada,panzeri,M,1
1,B,B3,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B3,1,Y,Lasioglossum_morio,Lasioglossum,morio,V,1
1,B,B3,2,B,Nomada_panzeri,Nomada,panzeri,V,1
1,B,B3,2,Y,Andrena_scotica,Andrena,scotica,M,1
1,B,B4,1,W,Andrena_dorsata,Andrena,dorsata,V,1
1,B,B4,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,3
1,B,B4,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B5,1,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B5,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B5,1,Y,Lasioglossum_calceatum,Lasioglossum,calceatum,V,1
1,B,B5,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B6,1,B,Bombus_vestalis,Bombus ,vestalis,V,1
1,B,B6,1,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B6,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B6,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B6,1,Y,Andrena_helvola,Andrena,helvola,M,1
1,B,B6,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,2
1,B,B8,1,B,Bombus_terrestris,Bombus ,terresstris,V,1
1,B,B8,1,W,Andrena_fulva,Andrena,fulva,V,1
1,B,B8,1,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,5
1,B,B8,1,W,Bombus_terrestris,Bombus ,terresstris,V,2
1,B,B8,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,2
1,B,B8,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B9,1,B,Andrena_helvola,Andrena,helvola,M,1
1,B,B9,1,W,Andrena_fulva,Andrena,fulva,V,1
1,B,B9,1,Y,Andrena_fulva,Andrena,fulva,V,1
1,B,B9,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,B,B9,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,B,B9,1,Y,Andrena_dorsata,Andrena,dorsata,V,1
1,B,B9,1,Y,Nomada_leucophthalma,Nomada,leucophthalma,M,1
1,B,B9,2,W,Andrena_helvola,Andrena,helvola,M,1
1,B,B9,2,W,Nomada_panzeri,Nomada,panzeri,V,1
1,B,B9,2,Y,Andrena_helvola,Andrena,helvola,V,1
1,B,B9,2,Y,Andrena_helvola,Andrena,helvola,M,5
1,O,O3,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,O,O3,1,B,Bombus_pascuorum,Bombus ,pascuorum,V,1
1,O,O3,2,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O3,1,W,Bombus_terrestris,Bombus ,terresstris,V,2
1,O,O3,2,W,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,O,O3,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O3,2,W,Nomada_zonata,Nomada,zonata,V,1
1,O,O3,2,B,Bombus_pratorum,Bombus ,pratorum,V,1
1,O,O3,2,Y,Bombus_terrestris,Bombus ,terresstris,V,1
1,O,O4,1,B,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O4,1,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O4,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,4
1,O,O4,1,W,Lasioglossum_malachurum,Lasioglossum,malachurum,V,1
1,O,O4,2,W,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O4,1,Y,Andrena_helvola,Andrena,helvola,V,1
1,O,O4,1,Y,Micrandrena_spec.,Micrandrena,spec.,V,1
1,O,O4,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,2
1,O,O4,2,W,Andrena_fulva,Andrena,fulva,M,1
1,O,O4,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,4
1,O,O4,2,Y,Andrena_helvola,Andrena,helvola,V,1
1,O,O4,2,W,Nomada_zonata,Nomada,zonata,V,1
1,O,O5,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,M,1
1,O,O5,1,Y,Andrena_fulva,Andrena,fulva,V,1
1,O,O5,1,Y,Lasioglossum_malachurum,Lasioglossum,malachurum,V,1
1,O,O5,1,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,2
1,O,O5,2,Y,Andrena_haemorrhoa,Andrena,haemorrhoa,V,1
1,O,O5,2,Y,Andrena_helvola,Andrena,helvola,V,1
